,Sample_name,Total_raw_reads,Trimming,Merging,Aggregating,Contain_Ns,Unexpected,OK
71,R11_FKS1-HS2_mic_T2_2,234634,4847,0,1277,2,23445.0,205063.0
72,R11_FKS1-HS2_mic_T2_3,211061,5014,0,1144,2,21239.0,183662.0
73,R11_FKS1-HS2_non_T2_1,175320,14286,0,2166,0,50628.0,108240.0
74,R11_FKS1-HS2_non_T2_2,282880,27767,0,3472,0,74132.0,177509.0
75,R11_FKS1-HS2_non_T2_3,233447,25097,0,3107,0,67813.0,137430.0
76,R11_FKS2-HS1_T0_1,181880,14551,0,3302,0,25530.0,138497.0
77,R11_FKS2-HS1_T0_2,259898,27319,0,5251,0,45065.0,182263.0
78,R11_FKS2-HS1_T0_3,190819,11519,0,4601,1,33104.0,141594.0
79,R11_FKS2-HS1_ani_T2_1,224987,20432,0,7918,2,84599.0,112036.0
80,R11_FKS2-HS1_ani_T2_2,292089,21558,0,7418,2,101981.0,161130.0
81,R11_FKS2-HS1_ani_T2_3,249662,24115,0,6520,2,79708.0,139317.0
82,R11_FKS2-HS1_cas_T2_1,305755,7598,0,3475,1,62664.0,232017.0
83,R11_FKS2-HS1_cas_T2_2,315872,8067,0,3665,4,63032.0,241104.0
84,R11_FKS2-HS1_cas_T2_3,252869,6112,0,3141,1,48166.0,195449.0
85,R11_FKS2-HS1_dox_T2_1,279789,6621,0,4184,0,39750.0,229234.0
86,R11_FKS2-HS1_dox_T2_2,287191,6886,0,4546,1,41718.0,234040.0
87,R11_FKS2-HS1_dox_T2_3,165139,4023,0,3108,0,19021.0,138987.0
88,R11_FKS2-HS1_mic_T2_1,521147,28244,0,12768,6,110673.0,369456.0
89,R11_FKS2-HS1_mic_T2_2,393385,23217,0,10779,1,95817.0,263571.0
90,R11_FKS2-HS1_mic_T2_3,279975,18132,0,7769,2,64984.0,189088.0
91,R11_FKS2-HS1_non_T2_1,425653,93866,0,6053,1,63836.0,261897.0
92,R11_FKS2-HS1_non_T2_2,276964,10561,0,5142,0,42510.0,218751.0
93,R11_FKS2-HS1_non_T2_3,249672,7064,0,4294,0,32979.0,205335.0
94,R11_FKS2-HS2_T0_1,212146,11228,0,3901,0,50208.0,146809.0
95,R11_FKS2-HS2_T0_2,188379,21641,0,5472,0,48211.0,113055.0
96,R11_FKS2-HS2_T0_3,157460,8538,0,3627,0,38535.0,106760.0
97,R11_FKS2-HS2_ani_T2_2,213253,15583,0,5759,0,106879.0,85032.0
98,R11_FKS2-HS2_ani_T2_3,166147,13700,0,4882,0,98746.0,48819.0
99,R11_FKS2-HS2_cas_T2_1,163393,656,0,1358,0,9388.0,151991.0
100,R11_FKS2-HS2_cas_T2_2,113193,499,0,1018,1,5644.0,106031.0
101,R11_FKS2-HS2_cas_T2_3,128923,546,0,1217,0,7479.0,119681.0
102,R11_FKS2-HS2_dox_T2_1,168800,912,0,3470,0,35044.0,129374.0
103,R11_FKS2-HS2_dox_T2_2,146299,1119,0,2726,0,26669.0,115785.0
104,R11_FKS2-HS2_dox_T2_3,133495,614,0,2571,0,26819.0,103491.0
105,R11_FKS2-HS2_mic_T2_1,138935,705,0,1426,0,9525.0,127279.0
106,R11_FKS2-HS2_mic_T2_2,136982,658,0,1335,1,8494.0,126494.0
107,R11_FKS2-HS2_mic_T2_3,355593,17115,0,6902,2,55227.0,276347.0
108,R11_FKS2-HS2_non_T2_1,297917,76203,0,7615,0,69583.0,144516.0
109,R11_FKS2-HS2_non_T2_2,340479,135327,0,6544,0,58974.0,139634.0
110,R11_FKS2-HS2_non_T2_3,377902,106380,0,5634,0,70154.0,195734.0
