strain,paralog,hotspot,Mutated_seq,compound,Replicate,Timepoint,Nb_gen
R1158,FKS2,HS1,FKS2-HS1,micafungin,1,T2,5.77400008685476
R1158,FKS2,HS1,FKS2-HS1,micafungin,2,T2,6.0294228859434
R1158,FKS2,HS1,FKS2-HS1,micafungin,3,T2,5.98457937902242
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,1,T2,5.15681693911481
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,2,T2,5.26528036399146
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,3,T2,5.43775113729962
R1158,FKS2,HS2,FKS2-HS2,none,1,T2,6.58501741975364
R1158,FKS2,HS2,FKS2-HS2,none,2,T2,6.54410055984175
R1158,FKS2,HS2,FKS2-HS2,none,3,T2,6.75758277593885
R1158,FKS2,HS2,FKS2-HS2,dox,1,T2,5.73152700928518
R1158,FKS2,HS2,FKS2-HS2,dox,2,T2,5.72014604475288
R1158,FKS2,HS2,FKS2-HS2,dox,3,T2,5.90853262428531
R1158,FKS2,HS2,FKS2-HS2,caspofungin,1,T2,4.62979429909324
R1158,FKS2,HS2,FKS2-HS2,caspofungin,2,T2,4.64213654879059
R1158,FKS2,HS2,FKS2-HS2,caspofungin,3,T2,4.56976034628074
R1158,FKS2,HS2,FKS2-HS2,micafungin,1,T2,4.06638106227142
R1158,FKS2,HS2,FKS2-HS2,micafungin,2,T2,4.20728233990602
R1158,FKS2,HS2,FKS2-HS2,micafungin,3,T2,4.02297139779814
R1158,FKS2,HS2,FKS2-HS2,anidulafungin,2,T2,3.41470871090351
R1158,FKS2,HS2,FKS2-HS2,anidulafungin,3,T2,3.41224396329111
