strain,paralog,hotspot,Mutated_seq,compound,Replicate,Timepoint,Nb_gen
R1158,FKS2,HS1,FKS2-HS1,micafungin,1,T2,4.00223188075626
R1158,FKS2,HS1,FKS2-HS1,micafungin,2,T2,4.17927747379527
R1158,FKS2,HS1,FKS2-HS1,micafungin,3,T2,4.14819432340658
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,1,T2,3.5744331220112
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,2,T2,3.64961423915832
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,3,T2,3.76916186940587
R1158,FKS2,HS2,FKS2-HS2,none,1,T2,4.56438625844036
R1158,FKS2,HS2,FKS2-HS2,none,2,T2,4.53602485235507
R1158,FKS2,HS2,FKS2-HS2,none,3,T2,4.68399944854246
R1158,FKS2,HS2,FKS2-HS2,dox,1,T2,3.9727917867892
R1158,FKS2,HS2,FKS2-HS2,dox,2,T2,3.96490310331158
R1158,FKS2,HS2,FKS2-HS2,dox,3,T2,4.09548272976981
R1158,FKS2,HS2,FKS2-HS2,caspofungin,1,T2,3.20912886498899
R1158,FKS2,HS2,FKS2-HS2,caspofungin,2,T2,3.21768386056848
R1158,FKS2,HS2,FKS2-HS2,caspofungin,3,T2,3.16751649985913
R1158,FKS2,HS2,FKS2-HS2,micafungin,1,T2,2.81860056839579
R1158,FKS2,HS2,FKS2-HS2,micafungin,2,T2,2.91626589172551
R1158,FKS2,HS2,FKS2-HS2,micafungin,3,T2,2.78851128185708
R1158,FKS2,HS2,FKS2-HS2,anidulafungin,2,T2,2.36689571539625
R1158,FKS2,HS2,FKS2-HS2,anidulafungin,3,T2,2.36518728253793
